station_id,name,latitude,longitude,n_connectors
8Q2TFSGYPHYT37RRA6SH,ES*REP*E16365*1,38.929626,-0.662682,3
6MAO1WXYGO73USPXV3PN,ES*REP*E16367*1,40.57525,-3.260327,3
YSOXKUMRJYTPKTD9CFPG,ES*REP*E16373*2,42.820618,-1.666305,2
MRYFAVP7CLTJ5PD31XJL,ES*REP*E16370*2,43.02087,-7.563585,2
IRSWSGHV9NYIUDFKRN3E,ES*REP*E16368*1,43.435658,-5.798854,3
LVCO1WBASF5Y6OCZGNKL,ES*REP*E16378*1,39.937748,-0.092776,3
ZQYTHWSDUNWJL9RYCO09,ES*REP*E16388*1,42.54958,-6.606839,6
UFNUOMQQJTA83HNNLXQL,ES*REP*E16720*1,43.24863,-2.924537,3
JY958CQWGRO2O3J26LCC,ES*REP*E16722*1,40.35772,-1.136062,3
8OIN9RXNVVY7BEOIIN43,ES*REP*E16738*2,38.41185,-0.421926,2
CEM0IRUMPTEMIWVRNJ7C,ES*REP*E16739*1,43.39957,-3.439306,3
UKOKCLZN93GZXWWHI0B2,ES*REP*E16754*2,37.38224,-6.116473,4
W7LW5JTPZUVYTZI3C5C9,ES*REP*E16753*2,38.988987,-3.923422,2
0WZBCDFFATPSLIZJ5DLZ,ES*REP*E16755*1,37.450844,-3.920682,3
7P4SZYHLDNWRK1ODUY2C,ES*REP*E16763*1,41.643234,0.895039,3
NLTGIL7RKF3PQWIFQKDF,ES*REP*E16764*1,42.572495,-5.583343,3
NIIVGKIIMWPFCNOPQJ60,ES*REP*E16773*2,41.592804,-4.72475,6
JNU5OMZQKTHKPGHTJGGO,ES*REP*E16793*2,37.34912,-5.977045,2
FTK92W4Q6RQE321QPXZX,ES*REP*E16770*2,41.660984,-4.71291,2
ORFKDTBASRVFXWBFWHQW,ES*REP*E16798*1,38.69783,-4.10576,3
OPWQPSMAQHCF2AIZCZVY,ES*REP*E16766*2,36.42135,-6.153748,2
NNWSN5XBNK1HUJINJCUO,ES*REP*E16778*2,36.72973,-4.428099,2
KA9YN8AI4ZCSOEFUPIQB,ES*REP*E16794*2,41.6119,-4.112466,2
4AHM15CEM5N9WVXSIZEZ,ES*REP*E16809*1,40.237885,-3.75755,2
5RVIVJC0EHYEEERML0IT,ES*REP*E16810*1,41.840622,-2.044228,3
ICBCQXUIT5TSSGT4JQA0,ES*REP*E16819*1,41.636177,-0.991801,3
9HCCYT2KT17HDXUQDV6W,ES*REP*E16818*2,41.650234,-0.916968,2
SWLMKECFVCOXPDMT3V7W,ES*REP*E16832*2,39.01434,-3.371398,2
IWYLRTSGGEE7MDYSOJSU,ES*REP*E16811*2,36.15526,-5.450199,2
SJOS8H8M2862EQ9NOWK5,ES*REP*E16835*1,40.37646,-3.634324,8
6PTZKHFYNGRKGSLXHQYW,ES*REP*E16839*1,37.526638,-5.085269,3
GYL3UQEHEVNKN7IPHGVI,ES*REP*E16837*1,38.38627,-0.758594,3
5MCQEKQD8VSRJHUB5SFF,ES*REP*E16849*1,42.194397,-8.718814,3
DDGW2TPTBS7ENETVNPI4,ES*REP*E16850*1,40.22226,0.201337,3
1GD5XKOHEGF8SETQQIKI,ES*REP*E16841*1,40.376793,-3.633473,4
O0TONXH0DLQ4WIIZTSBA,ES*REP*E16845*2,37.229958,-3.655152,2
7GDOCEWF9FVIVPIOAUNC,ES*REP*E16848*1,41.552586,1.879861,3
EXZWJOJKCO6KZOYGQ6GK,ES*REP*E16865*1,42.399574,-4.038098,3
